Name#Provider#Url#Size
Kali Linux#VirtualBox#http://ftp.sliim-projects.eu/boxes/kali-linux-1.0-amd64.box#2500MB
Kali Linux 1.0 i686#VirtualBox#http://dalvik.jp/vagrant/KaliLinux-1.0-en-i686.box#2346MB
Slackware 13.37#VirtualBox#http://dl.dropbox.com/u/10544201/slackware-13.37.box#2200MB
AppScale 1.12.0 (Ubuntu Precise 12.04 64-bit)#VirtualBox#http://download.appscale.com/download/AppScale%201.12.0%20VirtualBox%20Image#1900 MB
CentOS 5.8 x86_64#VirtualBox#https://dl.dropbox.com/u/17738575/CentOS-5.8-x86_64.box#957MB
Ubuntu precise 64 (Ruby 1.9.3 & Chef 10.12)#VirtualBox#https://dl.dropbox.com/u/14292474/vagrantboxes/precise64-ruby-1.9.3-p194.box#892MB
OpenBSD 5.2 (amd64) puppet chef pkg ports#VirtualBox#https://dl.dropbox.com/s/5ietqc3thdholuh/openbsd-52-64.box#889MB
OmniOS (r151002)#VirtualBox#http://omnios.omniti.com/media/omnios-latest.box#837MB
CentOS 5.6 32#VirtualBox#http://yum.mnxsolutions.com/vagrant/centos_56_32.box#804MB
Ubuntu Server raring 13.04 amd64 (ruby-2.0.0-247 only) MySQL headers already included for building mysql2 extension #VirtualBox#https://dl.dropboxusercontent.com/s/o5i10hcu57jamg8/ubuntu64-ruby2.box#729MB
Gentoo 2013.02.14 i686 (32bit) (Puppet, Chef, VirtualBox 4.2.6)#VirtualBox#https://seedrs.box.com/shared/static/6cg94mkdtuz3baoy8zl8.box#717MB
Oracle Linux 6.5 x86_64 (Chef + Puppet) (src)#VirtualBox#https://dl.dropbox.com/s/613uhl43ekqzami/oraclelinux-6-x86_64.box#684MB
openSUSE 12.1 x64#VirtualBox#https://github.com/jtperry/OpenSuseVagrantBox#665MB
Scientific Linux 6 64 chefserver-0.10#VirtualBox#http://download.frameos.org/sl6-64-chefserver-0.10.box#657MB
CentOS 5.10 x86_64 Base, VMware Tools, Chef 11.6 (Omnibus), Puppet 3.3.2 (Vendor repo)#VMware#https://dl.dropboxusercontent.com/s/r5okkx8330h3tzh/vagrant-centos-5.10-x86_64.box#653MB
CentOS 6.3 32bit (puppet)#VirtualBox#https://dl.dropbox.com/sh/9rldlpj3cmdtntc/chqwU6EYaZ/centos-63-32bit-puppet.box#651MB
Ubuntu Server raring 13.04 amd64 (ruby 1.9.3, puppet, guest additions) #VirtualBox#https://dl.dropboxusercontent.com/u/547671/thinkstack-raring64.box#644MB
Fedora 18 x86 Minimal (with Chef 11.4.0, VirtualBox Guest Additions 4.2.10 and rpmfusion enabled); md5sum 36b8aaf49421510a726b6175ee44e15b sha1sum d5a6a3c4ab1538105b18e6efba4d9479798a430e#VirtualBox#http://static.stasiak.at/fedora-18-x86-2.box#635MB
OpenSuse 12.3 x86_64 (puppet)#VirtualBox#http://sourceforge.net/projects/opensusevagrant/files/12.3/opensuse-12.3-64.box/download#628MB
Oracle Linux 5.9 x86_64 (Chef + Puppet) (src)#VirtualBox#https://dl.dropbox.com/s/n5o3gfdgjc3ekhl/oracle59.box#613MB
